path,current Git state,classification,canonical owner,referenced by,include in Git yes/no,reason,secret scan result,duplicate check,intended commit group
.editorconfig,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:2071fcddd821537d,09-build-and-cross-platform-environment
.env.example,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration","SYNTHETIC_TEST_LITERAL_ONLY:credential-url,literal-credential",UNIQUE sha256:ea180b61890bd611,09-build-and-cross-platform-environment
.gitattributes,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:27be1b6eeded4670,09-build-and-cross-platform-environment
.gitignore,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:93c7576e6e496677,09-build-and-cross-platform-environment
.vscode/extensions.json,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:afb38545cca1e11b,09-build-and-cross-platform-environment
.vscode/settings.json,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:f3bb6e197df40005,09-build-and-cross-platform-environment
.vscode/tasks.json,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:5db3c16ad92c3c66,09-build-and-cross-platform-environment
README.md,tracked: unstaged changes,F,project documentation,"developer, operator, and architecture review",yes,"maintained architecture, security, or operations documentation",CLEAN,UNIQUE sha256:9b384e10903069d6,10-documentation-and-release-evidence
admin_interface_design.md,tracked: clean,F,project documentation,"developer, operator, and architecture review",yes,"maintained architecture, security, or operations documentation",CLEAN,UNIQUE sha256:9faf698006a46ccc,10-documentation-and-release-evidence
backend/.dockerignore,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:b4c4e3ba538f3fff,09-build-and-cross-platform-environment
backend/.python-version,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:33307da56af13f79,09-build-and-cross-platform-environment
backend/Dockerfile,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:1ec7bc9e4dc5dd5b,09-build-and-cross-platform-environment
backend/README.md,tracked: unstaged changes,F,project documentation,"developer, operator, and architecture review",yes,"maintained architecture, security, or operations documentation",CLEAN,UNIQUE sha256:0ebe66408c7fbbaa,10-documentation-and-release-evidence
backend/alembic.ini,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:2436ff2a4ab9b7da,09-build-and-cross-platform-environment
backend/alembic/README,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:31595cf53626af9e,09-build-and-cross-platform-environment
backend/alembic/env.py,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:4c19ef184af0ee11,09-build-and-cross-platform-environment
backend/alembic/script.py.mako,tracked: clean,E,repository and build configuration,"Git, Docker, Python, or VS Code tooling",yes,"required repository, build, or development configuration",CLEAN,UNIQUE sha256:a60ec52443699fdc,09-build-and-cross-platform-environment
backend/alembic/versions/8b2f4d1c6a10_execution_core.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/d4a9c8e7f621_product_core_foundation.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:6304b536e91337d2,06-alembic-migrations
backend/alembic/versions/a5b6c7d8e9f0_normalize_attribute_check_constraint_names.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/b6c7d8e9f0a1_optimize_execution_claim_index.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:f4b830f3bcb56518,06-alembic-migrations
backend/alembic/versions/a8b9c0d1e2f3_product_content_completion.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/b9c0d1e2f3a4_content_template_conditions.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:9d898958fad0d77a,06-alembic-migrations
backend/alembic/versions/b2c3d4e5f6a7_inventory_movements.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/c3d4e5f6a7b8_inventory_reservations.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:a7f38a467ddf7584,06-alembic-migrations
backend/alembic/versions/b6c7d8e9f0a1_optimize_execution_claim_index.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/c7d8e9f0a1b2_add_cursor_pagination_indexes.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:293113b23ee9aeea,06-alembic-migrations
backend/alembic/versions/b9c0d1e2f3a4_content_template_conditions.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/c0d1e2f3a4b5_product_content_quality.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:00643e1a095d9880,06-alembic-migrations
backend/alembic/versions/c0d1e2f3a4b5_product_content_quality.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/d1e2f3a4b5c6_product_content_invariants.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:36c7d497eab7197e,06-alembic-migrations
backend/alembic/versions/c3d4e5f6a7b8_inventory_reservations.py,tracked: clean,B,Alembic migration graph,backend/alembic/versions/d5e6f7a8b9c0_product_attribute_system.py,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:5fc3d3200aede88f,06-alembic-migrations
backend/alembic/versions/c7d8e9f0a1b2_add_cursor_pagination_indexes.py,tracked: clean,B,Alembic migration graph,backend/alembic/env.py and Alembic revision chain,yes,canonical Alembic revision,CLEAN,UNIQUE sha256:5b812981c576d765,06-alembic-migrations
