"normalized_package","version","directness","scope","platform_marker","license","license_review"
"alembic","1.18.5","direct","runtime","","MIT","compatible"
"annotated-doc","0.0.4","transitive","runtime","","MIT","compatible"
"annotated-types","0.8.0","transitive","runtime","","MIT","compatible"
"anyio","4.14.2","transitive","runtime;test","","MIT","compatible"
"asyncpg","0.31.0","direct","runtime","","Apache-2.0","compatible"
"black","26.3.1","direct","formatting","","MIT","compatible"
"bleach","6.4.0","direct","runtime","","Apache-2.0","compatible"
"boolean-py","5.0","transitive","security","","BSD-2-Clause","compatible"
"cachecontrol","0.14.4","transitive","security","","Apache-2.0","compatible"
"certifi","2026.7.22","transitive","security","","MPL-2.0","compatible"
"charset-normalizer","3.4.9","transitive","security","","MIT","compatible"
"click","8.4.2","transitive","runtime;formatting","","BSD-3-Clause","compatible"
"colorama","0.4.6","transitive","runtime;formatting","sys_platform == ""win32""","BSD-3-Clause","compatible"
"coverage","7.15.2","transitive","test","","Apache-2.0","compatible"
"cyclonedx-python-lib","11.11.0","transitive","security","","Apache-2.0","compatible"
"defusedxml","0.7.1","transitive","security","","PSF-2.0","compatible"
"execnet","2.1.2","transitive","test","","MIT","compatible"
"fastapi","0.139.2","direct","runtime","","MIT","compatible"
"filelock","3.32.0","transitive","security","","MIT","compatible"
"greenlet","3.5.4","transitive","runtime","","MIT AND PSF-2.0","compatible"
"h11","0.16.0","transitive","runtime;test","","MIT","compatible"
"httpcore","1.0.9","transitive","test","","BSD-3-Clause","compatible"
"httptools","0.8.0","transitive","runtime","","MIT","compatible"
"httpx","0.28.1","direct","test","","BSD-3-Clause","compatible"
"idna","3.18","transitive","runtime;test;security","","BSD-3-Clause","compatible"
"iniconfig","2.3.0","transitive","test","","MIT","compatible"
"librt","0.13.0","transitive","typing","","MIT","compatible"
"license-expression","30.4.4","transitive","security","","Apache-2.0","compatible"
"mako","1.3.12","transitive","runtime","","MIT","compatible"
"markdown-it-py","4.2.0","transitive","security","","MIT","compatible"
"markupsafe","3.0.3","transitive","runtime","","BSD-3-Clause","compatible"
"mdurl","0.1.2","transitive","security","","MIT","compatible"
"msgpack","1.2.1","transitive","security","","Apache-2.0","compatible"
"mypy","1.20.2","direct","typing","","MIT","compatible"
"mypy-extensions","1.1.0","transitive","typing;formatting","","MIT","compatible"
"packaging","26.2","transitive","development;test;security","","Apache-2.0 OR BSD-2-Clause","compatible"
"packageurl-python","0.17.6","transitive","security","","MIT","compatible"
"pathspec","1.1.1","transitive","formatting","","MPL-2.0","compatible"
"pip-api","0.0.34","transitive","security","","Apache-2.0","compatible"
"pip-audit","2.10.1","direct","security","","Apache-2.0","compatible"
"pip-requirements-parser","32.0.1","transitive","security","","MIT","compatible"
"platformdirs","4.11.0","transitive","typing;formatting","","MIT","compatible"
"pluggy","1.6.0","transitive","test","","MIT","compatible"
"pydantic","2.13.4","direct","runtime","","MIT","compatible"
"pydantic-settings","2.14.2","direct","runtime","","MIT","compatible"
"pydantic-core","2.46.4","transitive","runtime","","MIT","compatible"
"pygments","2.20.0","transitive","test;security","","BSD-2-Clause","compatible"
"pytest","9.0.3","direct","test","","MIT","compatible"
"pytest-asyncio","1.3.0","direct","test","","Apache-2.0","compatible"
"pytest-cov","7.1.0","direct","test","","MIT","compatible"
"pytest-randomly","4.1.0","direct","test","","MIT","compatible"
"pytest-xdist","3.8.0","direct","test","","MIT","compatible"
"py-serializable","2.1.0","transitive","security","","Apache-2.0","compatible"
"pyparsing","3.3.2","transitive","security","","MIT","compatible"
"pytokens","0.4.1","transitive","formatting","","MIT","compatible"
"python-dotenv","1.2.2","transitive","runtime","","BSD-3-Clause","compatible"
"pyyaml","6.0.3","transitive","runtime","","MIT","compatible"
"redis","6.4.0","direct","runtime","","MIT","compatible"
"regex","2026.7.19","direct","runtime","","Apache-2.0 AND CNRI-Python","compatible"
"requests","2.34.2","transitive","security","","Apache-2.0","compatible"
"rich","15.0.0","transitive","security","","MIT","compatible"
"ruff","0.12.5","direct","development","","MIT","compatible"
"setuptools","83.0.0","direct","build","","MIT","compatible"
"sortedcontainers","2.4.0","transitive","security","","Apache-2.0","compatible"
"sqlalchemy","2.0.51","direct","runtime","","MIT","compatible"
"starlette","1.3.1","direct","runtime","","BSD-3-Clause","compatible"
"tomli","2.4.1","transitive","security","","MIT","compatible"
"tomli-w","1.2.0","transitive","security","","MIT","compatible"
"types-bleach","6.4.0.20260607","direct","typing","","Apache-2.0","compatible"
"types-html5lib","1.1.11.20260518","transitive","typing","","Apache-2.0","compatible"
"types-regex","2026.7.19.20260720","direct","typing","","Apache-2.0","compatible"
"types-webencodings","0.5.0.20260408","transitive","typing","","Apache-2.0","compatible"
"typing-inspection","0.4.2","transitive","runtime","","MIT","compatible"
"typing-extensions","4.16.0","transitive","runtime;typing","","PSF-2.0","compatible"
"urllib3","2.7.0","transitive","security","","MIT","compatible"
"uvicorn","0.51.0","direct","runtime","","BSD-3-Clause","compatible"
"uvloop","0.22.1","transitive","runtime","sys_platform != ""win32""","MIT OR Apache-2.0","compatible"
"watchfiles","1.2.0","transitive","runtime","","MIT","compatible"
"webencodings","0.5.1","transitive","runtime","","BSD-3-Clause","compatible"
"websockets","16.1.1","transitive","runtime","","BSD-3-Clause","compatible"
"wheel","0.47.0","direct","build","","MIT","compatible"
